host,port,proto,name,state,info
"172.29.180.233","21","tcp","ftp","open",""
"172.29.61.122","21","tcp","ftp","open",""
"172.29.204.12","21","tcp","ftp","open",""
"172.29.188.241","21","tcp","ftp","open",""
"172.29.208.14","21","tcp","ftp","open",""
"172.29.136.19","21","tcp","ftp","open",""
"172.29.160.254","21","tcp","ftp","open",""
"172.29.212.10","21","tcp","ftp","open",""
"172.29.204.14","21","tcp","ftp","open",""
"172.29.136.198","21","tcp","ftp","open",""
"172.29.204.35","21","tcp","ftp","open",""
"172.29.168.120","21","tcp","ftp","open",""
"172.29.168.35","21","tcp","ftp","open",""
"172.29.208.10","21","tcp","ftp","open",""
"172.29.204.11","21","tcp","ftp","open",""
"172.29.200.13","21","tcp","ftp","open",""
"172.29.200.15","21","tcp","ftp","open",""
"172.29.0.23","21","tcp","ftp","open",""
"172.29.132.34","21","tcp","ftp","open",""
"172.29.196.190","21","tcp","ftp","open",""
"172.29.0.23","22","tcp","ssh","open",""
"172.29.208.45","22","tcp","ssh","open",""
"172.29.208.35","22","tcp","ssh","open",""
"172.29.0.22","22","tcp","ssh","open",""
"172.29.200.34","22","tcp","ssh","open",""
"172.29.208.44","22","tcp","ssh","open",""
"172.29.208.36","22","tcp","ssh","open",""
"172.29.212.30","22","tcp","ssh","open",""
"172.29.208.43","22","tcp","ssh","open",""
"172.29.208.46","22","tcp","ssh","open",""
"172.29.200.35","22","tcp","ssh","open",""
"172.29.208.42","22","tcp","ssh","open",""
"172.29.0.24","22","tcp","ssh","open",""
"172.29.212.28","22","tcp","ssh","open",""
"172.29.160.254","22","tcp","ssh","open",""
"172.29.208.41","22","tcp","ssh","open",""
"172.29.52.254","22","tcp","ssh","open",""
"172.29.208.40","22","tcp","ssh","open",""
"172.29.200.36","22","tcp","ssh","open",""
"172.29.168.10","22","tcp","ssh","open",""
"172.29.200.38","22","tcp","ssh","open",""
"172.29.61.45","22","tcp","ssh","open",""
"172.29.240.254","22","tcp","ssh","open",""
"172.29.208.39","22","tcp","ssh","open",""
"172.29.200.37","22","tcp","ssh","open",""
"172.29.208.38","22","tcp","ssh","open",""
"172.29.110.33","22","tcp","ssh","open",""
"172.29.208.46","23","tcp","telnet","open",""
"172.29.208.38","23","tcp","telnet","open",""
"172.29.196.190","23","tcp","telnet","open",""
"172.29.208.35","23","tcp","telnet","open",""
"172.29.204.11","23","tcp","telnet","open",""
"172.29.200.37","23","tcp","telnet","open",""
"172.29.208.44","23","tcp","telnet","open",""
"172.29.208.45","23","tcp","telnet","open",""
"172.29.110.33","23","tcp","telnet","open",""
"172.29.188.241","23","tcp","telnet","open",""
"172.29.208.10","23","tcp","telnet","open",""
"172.29.168.35","23","tcp","telnet","open",""
"172.29.132.34","23","tcp","telnet","open",""
"172.29.200.38","23","tcp","telnet","open",""
"172.29.208.40","23","tcp","telnet","open",""
